time,open,high,low,close
2020-03-25,960,1009.55,959.75,999.5
2020-03-26,1004.3,1108.85,1001.65,1104.75
2020-03-27,1105.3,1105.3,1050.35,1082.05
2020-03-30,1083,1129.5,1061.85,1117.25
2020-03-31,1112.7,1148.4,1055.25,1063.75
2020-04-01,1067,1108.9,995.2,1003.8
2020-04-02,1008,1047.6,985,1035.45
2020-04-03,1035.5,1045.6,1013,1039.45
2020-04-06,1045.05,1100,1042.65,1081.85
2020-04-07,1099.95,1111.1,1071,1097
2020-04-08,1097,1107,1084.65,1105.05
2020-04-09,1113,1132.4,1093.7,1126.05
2020-04-10,1130,1150,1110.15,1140.1
2020-04-13,1141.95,1164.5,1129.2,1152.5
2020-04-14,1162,1235.8,1155.4,1215
2020-04-15,1191.05,1216.45,1137.55,1147.25
2020-04-16,1162.2,1213.9,1160.2,1194
2020-04-17,1173.45,1188.8,1157.05,1168.5
2020-04-20,1163,1167.5,1120.35,1163.5
2020-04-21,1166.8,1200,1134.2,1179.45
2020-04-22,1182.85,1250,1181.2,1220.9
2020-04-23,1229.8,1248.85,1191.05,1195.1
2020-04-24,1203.75,1224.5,1192.2,1209.5
2020-04-27,1210,1234.75,1205.5,1208.1
2020-04-28,1208.5,1217.2,1181.15,1191.65
2020-04-29,1199.8,1199.8,1175,1193.55
2020-04-30,1208.4,1211,1192.55,1211
2020-05-04,1210,1235,1183.55,1202.3
2020-05-05,1195,1204,1180.5,1183.2
2020-05-06,1185.5,1204.3,1183,1192.05
2020-05-07,1191.5,1203.2,1133.3,1183.9
2020-05-08,1197.3,1198.5,1185.7,1197.3
2020-05-12,1192.6,1204.7,1168.25,1197.9
2020-05-13,1200.75,1239,1193.4,1229.5
2020-05-14,1238.1,1249,1210,1235
2020-05-15,1238.95,1244.45,1216,1230.6
2020-05-18,1240,1273.8,1209,1225.7
2020-05-19,1212.7,1225.7,1197.1,1211
2020-05-20,1220.3,1226.95,1198,1207.35
2020-05-21,1197.85,1204.4,1175.45,1192.5
2020-05-22,1200,1208.85,1175.5,1181.45
2020-05-25,1175.5,1198.2,1175.05,1197.5
2020-05-26,1200,1200,1162.8,1162.8
2020-05-27,1160,1162,1102,1126.25
2020-05-28,1135.8,1142.45,1120.15,1134
2020-05-29,1138.8,1170.1,1126.8,1167.3
2020-06-01,1165,1168.65,1115.9,1140
2020-06-02,1137.95,1142.6,1103.2,1114.2
2020-06-03,1096.7,1102.9,1040,1056.7
2020-06-04,1049.5,1103.6,1045.05,1068.85
2020-06-05,1061.8,1062.05,1015.05,1024.6
2020-06-08,1029,1030.25,995.2,1014.9
2020-06-09,1014.95,1068,1007.5,1046.5
2020-06-10,1053.8,1079,1045.6,1058.95
2020-06-11,1080.1,1097,1061.6,1088.8
2020-06-15,1088.9,1089.3,1031.5,1052
2020-06-16,1051.8,1064.25,1034.5,1034.5
2020-06-17,1039.95,1074.95,1039.5,1074.2
2020-06-18,1075.3,1091.5,1067,1085
2020-06-19,1087.95,1119.35,1080.2,1106.75
2020-06-22,1117.75,1147.8,1109.55,1133.05
2020-06-23,1130.35,1164.05,1123.4,1153.35
2020-06-25,1153,1179.25,1150.85,1169
2020-06-26,1169,1183.5,1162.8,1174
2020-06-29,1175,1201,1171.8,1189.6
2020-06-30,1189.9,1207.2,1185.1,1198.7
2020-07-02,1194.2,1200,1178,1197.4
2020-07-03,1197,1228.4,1193.35,1222
2020-07-06,1222,1260,1212.5,1249.1
2020-07-07,1247,1272.2,1245.3,1270.7
2020-07-08,1271,1296.1,1255.6,1291.4
2020-07-09,1295.45,1339.4,1292.1,1328
2020-07-10,1325,1372.95,1305.6,1317.05
2020-07-13,1328,1337.35,1276.5,1285.2
2020-07-14,1288,1293,1236.6,1281.95
2020-07-15,1284,1332,1282.55,1327
2020-07-16,1326.9,1353.6,1294,1316.8
2020-07-17,1313.25,1332,1310.55,1322.5
2020-07-20,1329.05,1342.6,1312.15,1334.2
2020-07-21,1340.05,1362.95,1325.1,1348.45
2020-07-22,1355.85,1394.4,1350.35,1392
2020-07-23,1397.3,1460,1392.1,1449.8
2020-07-24,1454.95,1527.45,1445.2,1526.5
2020-07-27,1557,1749,1547.7,1724.8
2020-07-28,1709.25,1709.75,1602.8,1658
2020-07-29,1668.9,1709.45,1621.5,1665
2020-07-30,1632.7,1643,1607.5,1624
2020-07-31,1657.8,1707.95,1646.6,1694.9
2020-08-03,1707.45,1718.5,1672,1685
2020-08-04,1683.1,1742,1670.75,1738.05
2020-08-05,1746.35,1850,1745.05,1816.95
2020-08-06,1840,1877.3,1802.3,1859.2
2020-08-07,1844,1856.45,1775.5,1806.75
2020-08-10,1800,1812.35,1771,1775.3
2020-08-11,1729.15,1759.95,1675,1683.4
2020-08-12,1682.9,1759.5,1652.6,1730.15
2020-08-13,1731.5,1763,1712.2,1746
2020-08-14,1731.05,1756.3,1718.35,1741.9
2020-08-17,1753,1828.05,1751.7,1815.25
2020-08-18,1833.85,1865.9,1788.7,1794.8
2020-08-19,1785.6,1817,1756.05,1763.3
2020-08-20,1778.9,1789.9,1731.7,1783
2020-08-21,1775.5,1791.7,1742,1768.6
2020-08-24,1772.5,1818.65,1758.8,1796.6
2020-08-25,1798.35,1812.7,1782.05,1798.55
2020-08-26,1792.95,1844.4,1780.05,1834.45
2020-08-27,1820,1847,1807.75,1817
2020-08-28,1830,1844.2,1805.2,1836.6
2020-08-31,1840.05,1840.45,1789.05,1808.55
2020-09-01,1822,1876.5,1770.75,1786.8
2020-09-02,1780,1786.9,1725.35,1752.95
2020-09-03,1737.4,1744.45,1676.35,1695.1
2020-09-04,1696.85,1738,1692.85,1726.6
2020-09-07,1723,1764.65,1723,1743.1
2020-09-08,1749.3,1752.7,1682.05,1702.3
2020-09-09,1701.45,1707.4,1651.8,1673.5
2020-09-10,1670,1699.8,1660.7,1680.65
2020-09-11,1682,1739.5,1676.2,1706.7
2020-09-14,1707.75,1712.2,1677.8,1695
2020-09-15,1698,1707.3,1677.6,1694.3
2020-09-16,1693.85,1741.3,1688.6,1741.3
2020-09-17,1628,1736.7,1628,1694.7
2020-09-18,1709.2,1716.1,1678.95,1693
2020-09-21,1694,1699.55,1590.2,1646
2020-09-22,1625.5,1667.65,1612.6,1628.5
2020-09-23,1609.7,1653.1,1580,1630.95
2020-09-24,1620,1642.35,1587.05,1633.5
2020-09-25,1634.5,1658.5,1616.1,1633.55
2020-09-28,1632,1664.5,1622.45,1642.35
2020-09-29,1650,1669.95,1627.3,1665.8
2020-09-30,1655,1658.65,1624.75,1625.05
2020-10-01,1634.8,1651.55,1612.5,1635.2
2020-10-02,1649.5,1686.2,1636.95,1673.7
2020-10-05,1668.5,1703.7,1647.5,1696.25
2020-10-06,1697,1697.75,1640,1640.1
2020-10-07,1650,1666.1,1642.5,1656.6
2020-10-08,1663,1696.85,1655.1,1688.3
2020-10-09,1695,1706.3,1678,1698.15
2020-10-12,1703.9,1703.9,1671.5,1685
2020-10-13,1679,1685.5,1661.5,1665.5
2020-10-14,1670,1747.05,1669,1743
2020-10-15,1739.9,1739.9,1708.55,1731.85
2020-10-16,1738,1753.8,1725.5,1739.95
2020-10-19,1729.95,1738.25,1714.9,1726.85
2020-10-20,1722.95,1724.85,1703.7,1713
2020-10-21,1715.3,1721.8,1666.75,1680.05
2020-10-22,1683.9,1704.9,1662,1676.85
2020-10-23,1688,1688,1631.6,1652.7
2020-10-26,1646.8,1656.85,1607.8,1614.15
2020-10-27,1605.05,1654.35,1605.05,1649.9
